WTime,TOC,T-N,T-P
2019-08-21,5.1,0.647,0.042
2019-08-22,5.1,0.873,0.052
2019-08-29,5,1.295,0.059
2019-09-01,4.9,0.724,0.05
2019-09-02,4.7,0.515,0.052
2019-09-18,5.4,1.072,0.063
2019-09-19,5.5,1.152,0.06
2019-09-21,5.2,0.791,0.039
2019-09-22,5.2,1.462,0.054
2019-09-25,4.7,0.516,0.031
2019-09-29,4.7,0.636,0.044
2019-09-30,4.8,0.763,0.061
2019-10-01,4.6,0.702,0.066
2019-10-03,,,
2019-10-04,,,
2019-10-06,5,0.853,0.031
2019-10-08,4.1,,0.029
2019-10-09,4.5,,0.037
2019-10-12,4.1,0.813,0.028
2019-10-13,4.2,0.764,0.026
2019-10-15,4.2,0.665,0.028
2019-10-17,4,,0.02
2019-10-18,4.2,,0.027
2019-10-20,4,0.612,0.02
2019-10-22,4.1,0.626,0.022
2019-10-24,4.1,0.755,0.023
2019-10-26,4,0.738,0.02
2019-10-27,4.1,0.745,0.021
2019-10-29,3.8,0.547,0.017
2019-10-30,3.8,0.688,0.018
2019-11-02,3.6,0.986,0.018
2019-11-04,3.9,0.988,0.016
2019-11-06,4.1,,0.014
2019-11-08,,,
2019-11-10,4.5,,0.015
2019-11-12,4.4,,0.015
2019-11-14,,,
2019-11-15,4.1,1.895,0.012
2019-11-17,3.8,1.761,0.012
2019-11-19,3.8,1.378,0.013
2019-11-21,3.8,1.55,0.016
2019-11-23,4,1.163,0.013
2019-11-24,3.8,1.225,0.012
2019-11-26,3.9,1.199,0.014
2019-11-29,3.7,1.034,0.013
2019-11-30,3.6,1.03,0.014
2020-01-04,3.3,1.196,0.016
2020-01-06,3.2,1.133,0.016
2020-01-07,3,1.363,0.019
2020-01-10,3,,0.088
2020-01-11,3,,0.084
2020-01-14,3.1,1.157,0.075
2020-01-17,3.1,,0.039
2020-01-21,3.4,1.431,0.042
2020-01-23,3.2,2.042,0.041
2020-01-31,3.1,1.674,0.036
2020-02-24,,1.981,0.024
2020-02-25,,2.524,0.041
2020-04-01,4.6,3.405,0.021
2020-04-02,4.6,3.197,0.021
2020-04-03,4.5,3.132,0.021
2020-04-04,4.5,3.038,0.02
2020-04-05,4.5,2.916,0.029
2020-04-06,4.6,2.904,0.033
2020-04-07,4.6,2.908,0.025
2020-04-08,4.5,2.787,0.021
2020-04-09,4,2.676,0.02
2020-04-10,4.5,2.769,0.016
2020-04-11,4.6,2.923,0.012
2020-04-13,4.3,2.887,0.011
2020-04-14,4.5,2.788,0.013
2020-04-15,4.4,2.665,0.009
2020-04-17,4.6,2.692,0.009
2020-04-18,4.4,2.685,0.01
2020-04-20,4.4,2.621,0.01
2020-04-22,4.3,2.271,0.016
2020-04-23,4.3,2.326,0.017
2020-04-24,4.2,2.284,0.015
2020-04-25,4.2,2.327,0.014
2020-04-27,4.4,2.305,0.013
2020-04-30,4.4,2.61,0.013
2020-05-11,5,1.902,0.023
2020-05-16,4.5,2.081,0.018
2020-05-17,4.7,2.118,0.018
2020-05-25,4.2,1.794,0.036
2020-05-30,4.4,1.943,0.028
2020-06-08,5.5,1.91,0.044
2020-06-10,5.6,1.926,0.049
2020-06-11,5.6,3.064,0.134
2020-06-12,5.2,2.259,0.065
2020-06-21,4.5,1.594,0.054
2020-06-23,4.4,1.83,0.058
2020-06-25,4.6,1.946,0.057
2020-06-28,5,1.609,0.054
2019-01-12,3.2,1.701,0.014
2019-05-18,5,,0.021
2020-03-21,3.8,3.68,0.025
2019-01-19,3.2,2.036,0.018
2020-06-27,4.8,1.678,0.05
2019-07-26,,,
2020-03-08,,,0.033
2019-01-27,3.5,1.894,0.015
2019-04-22,4.1,2.273,0.018
2019-06-10,5.4,2.191,0.042
2019-08-01,,2.443,
2018-11-23,3.6,1.416,0.014
2019-04-06,3.7,2.329,0.023
2019-08-26,5.1,0.88,0.063
2019-08-30,5,1.088,0.056
2019-11-13,4.1,,0.012
2019-12-23,3.6,1.226,0.014
2020-01-12,3,1.053,0.081
2019-02-11,3.9,1.886,0.016
2019-03-12,3.9,3.303,0.025
2019-03-22,3.5,3.413,0.023
2019-04-01,3.8,2.261,0.02
2019-07-01,6,1.526,0.064
2019-12-14,3.3,1,
2020-03-29,4,3.083,0.014
2019-02-09,4,1.968,0.015
2019-02-10,4.1,1.961,0.018
2019-03-01,4,2.857,0.028
